vsacname,codesystem,code,description
Sleep,ICD10CM,G47.50,"Parasomnia, unspecified"
Sleep,ICD10CM,G47.51,Confusional arousals
Sleep,ICD10CM,G47.52,REM sleep behavior disorder
Sleep,ICD10CM,G47.53,Recurrent isolated sleep paralysis
Sleep,ICD10CM,G47.54,Parasomnia in conditions classified elsewhere
Sleep,ICD10CM,G47.59,Other parasomnia
Sleep,ICD10CM,G47.61,Periodic limb movement disorder
Sleep,ICD10CM,G47.62,Sleep related leg cramps
Sleep,ICD10CM,G47.69,Other sleep related movement disorders
Sleep,ICD10CM,G47.8,Other sleep disorders
Sleep,ICD10CM,G47.9,"Sleep disorder, unspecified"
Sleep,ICD10CM,Z73.810,"Behavioral insomnia of childhood, sleep-onset association type"
Sleep,ICD10CM,Z73.811,"Behavioral insomnia of childhood, limit setting type"
Sleep,ICD10CM,Z73.812,"Behavioral insomnia of childhood, combined type"
Sleep,ICD10CM,Z73.819,"Behavioral insomnia of childhood, unspecified type"
Sleep,SNOMEDCT,1.01E+14,Acute hypercapnic respiratory failure due to obstructive sleep apnea (disorder)
Sleep,SNOMEDCT,9.04E+13,Behavioral insomnia of childhood (disorder)
Sleep,SNOMEDCT,2.88E+14,"Behavioral insomnia of childhood, combined type (disorder)"
Sleep,SNOMEDCT,2.88E+14,"Behavioral insomnia of childhood, limit setting type (disorder)"
Sleep,SNOMEDCT,2.88E+14,"Behavioral insomnia of childhood, sleep onset association type (disorder)"
Sleep,SNOMEDCT,9.14E+13,Central sleep apnea caused by high altitude (disorder)
Sleep,SNOMEDCT,8.57E+13,Central sleep apnea due to periodic breathing (disorder)
Sleep,SNOMEDCT,9.15E+13,Circadian rhythm disorder caused by drug (disorder)
Sleep,SNOMEDCT,1.35E+14,Circadian rhythm sleep disorder caused by alcohol (disorder)
Sleep,SNOMEDCT,3.18E+13,Daytime hypersomnia (disorder)
Sleep,SNOMEDCT,1.05E+14,Drug induced central sleep apnea (disorder)
Sleep,SNOMEDCT,9.15E+13,Drug-induced hypersomnia (disorder)
Sleep,SNOMEDCT,9.14E+13,Drug-induced insomnia (disorder)
Sleep,SNOMEDCT,1.35E+14,Hypersomnia caused by alcohol (disorder)
Sleep,SNOMEDCT,1.23E+14,Hypnic headache (disorder)
Sleep,SNOMEDCT,3.73E+12,Idiopathic hypersomnia (disorder)
Sleep,SNOMEDCT,1.35E+14,Insomnia caused by alcohol (disorder)
Sleep,SNOMEDCT,9.37E+13,Insomnia co-occurrent and due to nocturnal myoclonus (disorder)
Sleep,SNOMEDCT,4.36E+14,Insomnia due to anxiety and fear (disorder)
Sleep,SNOMEDCT,9.15E+13,Narcolepsy without cataplexy (disorder)
Sleep,SNOMEDCT,1.10E+12,Obstructive sleep apnea of adult (disorder)
Sleep,SNOMEDCT,1.09E+12,Obstructive sleep apnea of child (disorder)
Sleep,SNOMEDCT,1.06E+14,Organic mixed sleep disorder (disorder)
Sleep,SNOMEDCT,9.00E+13,Organic sleep related movement disorder (disorder)
Sleep,SNOMEDCT,1.35E+14,Parasomnia caused by alcohol (disorder)
Sleep,SNOMEDCT,9.16E+13,Parasomnia caused by drug (disorder)
Sleep,SNOMEDCT,9.74E+12,Primary central sleep apnea (disorder)
Sleep,SNOMEDCT,4.34E+14,Secondary narcolepsy (disorder)
Sleep,SNOMEDCT,4.34E+14,Secondary narcolepsy with cataplexy (disorder)
Sleep,SNOMEDCT,4.34E+14,Secondary narcolepsy without cataplexy (disorder)
Sleep,SNOMEDCT,4.68E+12,Sleep disturbance in infancy (disorder)
Sleep,SNOMEDCT,8.99E+13,Sleep related hypoventilation or hypoxemia (disorder)
Sleep,SNOMEDCT,2.89E+14,Sleep related hypoxemia (disorder)
Vomiting,SNOMEDCT,1.46E+14,Vomiting without nausea (disorder)
Vomiting,ICD10CM,G43.A,Cyclical vomiting
Vomiting,ICD10CM,G43.A0,"Cyclical vomiting, in migraine, not intractable"
Vomiting,ICD10CM,G43.A1,"Cyclical vomiting, in migraine, intractable"
Vomiting,ICD10CM,K92.0,Hematemesis
Vomiting,ICD10CM,R11.1,Vomiting
Vomiting,ICD10CM,R11.10,"Vomiting, unspecified"
Vomiting,ICD10CM,R11.11,Vomiting without nausea
Vomiting,ICD10CM,R11.12,Projectile vomiting
Vomiting,ICD10CM,R11.13,Vomiting of fecal matter
Vomiting,ICD10CM,R11.14,Bilious vomiting
Vomiting,ICD10CM,R11.15,Cyclical vomiting syndrome unrelated to migraine
Vomiting,ICD10CM,R11.2,"Nausea with vomiting, unspecified"
Anxiety,ICD10CM,F06.4,Anxiety disorder due to known physiological condition
Anxiety,ICD10CM,F10.180,Alcohol abuse with alcohol-induced anxiety disorder
Anxiety,ICD10CM,F10.280,Alcohol dependence with alcohol-induced anxiety disorder
Anxiety,ICD10CM,F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
Anxiety,ICD10CM,F12.180,Cannabis abuse with cannabis-induced anxiety disorder
Anxiety,ICD10CM,F12.280,Cannabis dependence with cannabis-induced anxiety disorder
Anxiety,ICD10CM,F12.980,"Cannabis use, unspecified with anxiety disorder"
Anxiety,ICD10CM,F13.180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Anxiety,ICD10CM,F13.280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Anxiety,ICD10CM,F13.980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
Anxiety,ICD10CM,F14.180,Cocaine abuse with cocaine-induced anxiety disorder
Anxiety,ICD10CM,F14.280,Cocaine dependence with cocaine-induced anxiety disorder
Anxiety,ICD10CM,F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
Anxiety,ICD10CM,F15.180,Other stimulant abuse with stimulant-induced anxiety disorder
Anxiety,ICD10CM,F15.280,Other stimulant dependence with stimulant-induced anxiety disorder
Anxiety,ICD10CM,F15.980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder"
Anxiety,ICD10CM,F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
Anxiety,ICD10CM,F16.280,Hallucinogen dependence with hallucinogen-induced anxiety disorder
Anxiety,ICD10CM,F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
Anxiety,ICD10CM,F18.180,Inhalant abuse with inhalant-induced anxiety disorder
Anxiety,ICD10CM,F18.280,Inhalant dependence with inhalant-induced anxiety disorder
Anxiety,ICD10CM,F18.980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
Anxiety,ICD10CM,F19.180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
Anxiety,ICD10CM,F19.280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
Anxiety,ICD10CM,F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
Anxiety,ICD10CM,F40.8,Other phobic anxiety disorders
Anxiety,ICD10CM,F40.9,"Phobic anxiety disorder, unspecified"
Anxiety,ICD10CM,F41.0,Panic disorder [episodic paroxysmal anxiety]
Anxiety,ICD10CM,F41.1,Generalized anxiety disorder
Anxiety,ICD10CM,F41.3,Other mixed anxiety disorders
Anxiety,ICD10CM,F41.8,Other specified anxiety disorders
Anxiety,ICD10CM,F41.9,"Anxiety disorder, unspecified"
Anxiety,ICD10CM,F43.22,Adjustment disorder with anxiety
Anxiety,ICD10CM,F43.23,Adjustment disorder with mixed anxiety and depressed mood
Anxiety,ICD10CM,F93.0,Separation anxiety disorder of childhood
Mood,ICD10CM,F06.30,"Mood disorder due to known physiological condition, unspecified"
Mood,ICD10CM,F06.31,Mood disorder due to known physiological condition with depressive features
Mood,ICD10CM,F06.32,Mood disorder due to known physiological condition with major depressive-like episode
Mood,ICD10CM,F06.33,Mood disorder due to known physiological condition with manic features
Mood,ICD10CM,F06.34,Mood disorder due to known physiological condition with mixed features
Mood,ICD10CM,F10.14,Alcohol abuse with alcohol-induced mood disorder
Mood,ICD10CM,F10.24,Alcohol dependence with alcohol-induced mood disorder
Mood,ICD10CM,F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder"
Mood,ICD10CM,F11.14,Opioid abuse with opioid-induced mood disorder
Mood,ICD10CM,F11.24,Opioid dependence with opioid-induced mood disorder
Mood,ICD10CM,F11.94,"Opioid use, unspecified with opioid-induced mood disorder"
Mood,ICD10CM,F13.14,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
Mood,ICD10CM,F13.24,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
Mood,ICD10CM,F13.94,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
Mood,ICD10CM,F14.14,Cocaine abuse with cocaine-induced mood disorder
Mood,ICD10CM,F14.24,Cocaine dependence with cocaine-induced mood disorder
Mood,ICD10CM,F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder"
Mood,ICD10CM,F15.14,Other stimulant abuse with stimulant-induced mood disorder
Mood,ICD10CM,F15.24,Other stimulant dependence with stimulant-induced mood disorder
Mood,ICD10CM,F15.94,"Other stimulant use, unspecified with stimulant-induced mood disorder"
Mood,ICD10CM,F16.14,Hallucinogen abuse with hallucinogen-induced mood disorder
Mood,ICD10CM,F16.24,Hallucinogen dependence with hallucinogen-induced mood disorder
Mood,ICD10CM,F16.94,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
Mood,ICD10CM,F18.14,Inhalant abuse with inhalant-induced mood disorder
Mood,ICD10CM,F18.24,Inhalant dependence with inhalant-induced mood disorder
Mood,ICD10CM,F18.94,"Inhalant use, unspecified with inhalant-induced mood disorder"
Mood,ICD10CM,F19.14,Other psychoactive substance abuse with psychoactive substance-induced mood disorder
Mood,ICD10CM,F19.24,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
Mood,ICD10CM,F19.94,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
Mood,ICD10CM,F34.81,Disruptive mood dysregulation disorder
Mood,ICD10CM,F34.89,Other specified persistent mood disorders
Mood,ICD10CM,F34.9,"Persistent mood [affective] disorder, unspecified"
Mood,ICD10CM,F43.21,Adjustment disorder with depressed mood
